epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.2651194,23.311281351712207,0.26153696,0.2548759,0.2760463058948517,15.767916679382324,0.27027857303619385,0.2630208432674408
1,0.31064495,13.392489666546117,0.31917492,0.30341312,0.2902938425540924,7.577052593231201,0.2974887192249298,0.2783564627170563
2,0.3474671,10.276936988111213,0.36082643,0.3282358,0.32502225041389465,6.589982986450195,0.33189231157302856,0.30439814925193787
3,0.35974112,8.899018441532052,0.373239,0.3224734,0.34461265802383423,7.415739059448242,0.343546986579895,0.3055555522441864
4,0.36576656,8.024535593830084,0.38910264,0.3131649,0.3561887741088867,10.685961723327637,0.3580414056777954,0.3107638955116272
5,0.3637581,7.552733445055808,0.38837534,0.2989805,0.37845057249069214,8.059860229492188,0.3857325613498688,0.3243634104728699
6,0.37491632,7.030784646891718,0.42366576,0.30629432,0.38290295004844666,3.1788787841796875,0.4077591300010681,0.3402777910232544
7,0.37714797,6.821473436838707,0.4224833,0.28435284,0.37310776114463806,3.9086039066314697,0.3945308029651642,0.31886574625968933
8,0.38674402,6.640984676959551,0.43107066,0.2754876,0.3695458471775055,4.922346115112305,0.3900796175003052,0.29658564925193787
9,0.40035707,6.377382777945534,0.4775015,0.28302306,0.38112199306488037,4.328615665435791,0.4225098788738251,0.30787035822868347
10,0.388083,6.303474827393759,0.47665888,0.27171987,0.38468387722969055,4.094222068786621,0.42389294505119324,0.29658564925193787
11,0.4150859,6.141875020363213,0.49476403,0.2706117,0.3820124566555023,3.41098690032959,0.4306274354457855,0.31192129850387573
12,0.42245033,6.03052614693449,0.51040244,0.27992022,0.39893144369125366,4.710573196411133,0.42250365018844604,0.2942708432674408
13,0.4320464,5.911387948472701,0.5207087,0.28523937,0.4078361392021179,3.2968006134033203,0.45907825231552124,0.3223379850387573
14,0.43494755,5.867390096200893,0.5401286,0.2890071,0.42208370566368103,7.923025131225586,0.4579835534095764,0.3159722089767456
15,0.4440973,5.733962266526566,0.5621753,0.31382978,0.38824576139450073,4.64236307144165,0.43656641244888306,0.30497685074806213
16,0.44989958,5.716315312248287,0.5436138,0.29986703,0.42653605341911316,5.186024188995361,0.47181278467178345,0.33130785822868347
