epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.424682,2.8432553686007034,0.6170367,0.17553191,0.5289403200149536,1.28117835521698,0.7130047678947449,0.3211805522441864
1,0.5679536,2.074885881125355,0.7428529,0.3856383,0.568121075630188,1.1576266288757324,0.6994343996047974,0.46325233578681946
2,0.6291006,1.7315081076217085,0.77314,0.48958334,0.683882474899292,0.5231983065605164,0.8188234567642212,0.5011574029922485
3,0.6915867,1.5395912629579411,0.79906,0.56449467,0.6821014881134033,0.14452733099460602,0.7688775062561035,0.5842013955116272
4,0.69738895,1.4147475333491544,0.8027699,0.56981385,0.6215494275093079,0.22174833714962006,0.6774522066116333,0.5711805820465088
5,0.7165811,1.3951717520153861,0.8101654,0.6008422,0.7836152911186218,0.7147005200386047,0.8730026483535767,0.6776620745658875
6,0.7406829,1.1923867244987556,0.8301461,0.635195,0.7577916383743286,0.3572450876235962,0.8344330787658691,0.6695601940155029
7,0.7866548,1.0716556579669854,0.8536033,0.6972518,0.7916295528411865,0.17393292486667633,0.8306857347488403,0.7673611044883728
8,0.7962508,1.0229307516754218,0.86248523,0.7138741,0.7435441017150879,0.3842889070510864,0.7863763570785522,0.6999421119689941
9,0.8174515,0.9138278541182386,0.8727905,0.7491135,0.7871772050857544,0.36099210381507874,0.8276882767677307,0.7390046119689941
10,0.8165588,0.9037277814989323,0.86930764,0.7597518,0.7871772050857544,0.8773406147956848,0.8173308968544006,0.7502893209457397
11,0.8221379,0.8831682876666936,0.87167877,0.7562057,0.771148681640625,0.39847907423973083,0.8173161149024963,0.7320601940155029
12,0.8281634,0.8502113034546955,0.8804367,0.76839536,0.8272484540939331,0.06490468978881836,0.8678842186927795,0.8064236044883728
13,0.8491408,0.730610571201426,0.88899064,0.80407804,0.7889581322669983,1.0425374507904053,0.8282940983772278,0.7476851940155029
14,0.861638,0.6700700823906821,0.90131295,0.8244681,0.8165627717971802,0.9064335823059082,0.8315748572349548,0.7792245745658875
15,0.8636465,0.6520605385103972,0.89823735,0.8280142,0.8067675828933716,0.1429928094148636,0.8365946412086487,0.7786458134651184
16,0.8672171,0.6650838485346968,0.9047403,0.8302305,0.8210151195526123,0.7355195879936218,0.8442232012748718,0.7867476940155029
17,0.864316,0.6678187195357136,0.8914493,0.816711,0.8032057285308838,0.031972918659448624,0.8331100940704346,0.7916666865348816
18,0.88038385,0.648993172085521,0.9138181,0.84596634,0.8201246857643127,1.2799731492996216,0.8525429368019104,0.7980324029922485
19,0.8881946,0.5439921427560528,0.9042494,0.8532801,0.8379340767860413,0.9300432205200195,0.8561073541641235,0.7905092835426331
20,0.8915421,0.5113330355607832,0.91917324,0.86812943,0.8352627158164978,0.006404327228665352,0.8566907048225403,0.8246527910232544
21,0.883285,0.5529826778674919,0.9094656,0.860594,0.8477293252944946,0.1235085129737854,0.8709416389465332,0.8368055820465088
22,0.89600533,0.5291461841277003,0.9216851,0.8741135,0.8165627717971802,0.30608221888542175,0.8460695743560791,0.7934027910232544
23,0.8991296,0.4712643197832616,0.92254466,0.8741135,0.8165627717971802,0.24697266519069672,0.8314659595489502,0.7997685074806213
24,0.90872574,0.4331526195231798,0.9275879,0.8967199,0.812110424041748,0.34718990325927734,0.8355499505996704,0.7962962985038757
25,0.9093952,0.452836679495477,0.9282447,0.8909575,0.8325912952423096,0.1782989501953125,0.8624646067619324,0.8185763955116272
26,0.9093952,0.43714175672951683,0.92981046,0.89228725,0.8343722224235535,0.042783886194229126,0.856404721736908,0.8229166865348816
27,0.9078331,0.4683137175308437,0.9276805,0.88829786,0.8076580762863159,1.5867334604263306,0.8206346035003662,0.7876157164573669
28,0.92724836,0.351835332633152,0.94371593,0.91356385,0.8619768619537354,0.014239474199712276,0.8731021285057068,0.8541666865348816
29,0.9234546,0.34101171497254734,0.93601286,0.9117908,0.8566340208053589,0.13565708696842194,0.8710141181945801,0.8515625
30,0.9156438,0.42559177016964506,0.9319742,0.9007092,0.8432769179344177,0.011766134761273861,0.8713536262512207,0.8307291865348816
