epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.32193205,3.6884372823365656,0.45796466,0.14935662,0.38341012597084045,1.4125484228134155,0.6663546562194824,0.15038667619228363
1,0.4028195,2.848422324379184,0.57934415,0.18740152,0.44423964619636536,1.3185076713562012,0.6208443641662598,0.236593559384346
2,0.4656806,2.578170858190989,0.6275877,0.26391807,0.5096774101257324,1.1609257459640503,0.7198217511177063,0.29937881231307983
3,0.5144442,2.3782660809625567,0.67446804,0.3227416,0.5235022902488708,0.9904261231422424,0.6327136754989624,0.4085002541542053
4,0.55072796,2.1921640928220825,0.6898668,0.38642332,0.49953916668891907,1.0992169380187988,0.5678260326385498,0.40564781427383423
5,0.5652877,2.164435626508899,0.6962828,0.41248685,0.5493087768554688,1.208396077156067,0.677686333656311,0.40811991691589355
6,0.5775364,2.067805799816397,0.7199197,0.4259782,0.5465437769889832,1.4115887880325317,0.612101674079895,0.44066935777664185
7,0.5907095,2.0029750329284983,0.7189012,0.4572282,0.5631336569786072,1.1162285804748535,0.6803091764450073,0.45436105132102966
8,0.6172868,1.914045635811418,0.73815644,0.4697348,0.5797234773635864,0.9820711612701416,0.6733683943748474,0.5125507116317749
9,0.6172868,1.9693518243652584,0.7251635,0.47213104,0.5806451439857483,1.086316704750061,0.6911134123802185,0.46621450781822205
10,0.62468225,1.8426990251715254,0.7458953,0.4861476,0.5926267504692078,1.1825188398361206,0.6875845193862915,0.4753105938434601
11,0.63253987,1.7691807057583666,0.732026,0.5172663,0.6046082973480225,1.2265042066574097,0.6880035400390625,0.5186992883682251
12,0.64941067,1.7337019396952291,0.74925596,0.5268186,0.6156681776046753,1.1906242370605469,0.709176778793335,0.5232949256896973
13,0.6507973,1.7282016812611707,0.7628772,0.5315126,0.6156681776046753,0.9947851896286011,0.6748339533805847,0.5207276344299316
14,0.66443264,1.7133922576077794,0.75305194,0.537848,0.609216570854187,1.0674917697906494,0.6746857166290283,0.5253232717514038
15,0.65472615,1.684120239962434,0.755802,0.5416557,0.5898617506027222,0.9278337359428406,0.6622135639190674,0.5072261691093445
16,0.67136586,1.6398652867188706,0.75919014,0.5484178,0.6506912708282471,0.7593752145767212,0.7255710959434509,0.5643065571784973
17,0.67760575,1.5695186549806694,0.7779472,0.56955755,0.6433179974555969,1.3026368618011475,0.7220456004142761,0.556192934513092
18,0.66512597,1.6612063736680862,0.76276666,0.5555738,0.6571428775787354,1.190158486366272,0.7257205843925476,0.5839566588401794
19,0.68731225,1.5082542235619316,0.76852185,0.59358585,0.609216570854187,0.9761208295822144,0.6861065626144409,0.5439908504486084
20,0.6806101,1.5530859826893295,0.770096,0.58419776,0.6331797242164612,0.9840549826622009,0.6951589584350586,0.564116358757019
21,0.6930899,1.4974497197019825,0.77390724,0.6035977,0.6138249039649963,0.6709071397781372,0.6740232706069946,0.5432619452476501
22,0.6928588,1.4981761120030752,0.7711861,0.5978532,0.6304147243499756,0.9913540482521057,0.697338879108429,0.5758747458457947
23,0.6914722,1.5021086070838965,0.7692794,0.5978204,0.6534562110900879,0.6746295690536499,0.709677517414093,0.5724835395812988
24,0.6903166,1.4793990955414495,0.76930565,0.59791887,0.644239604473114,0.6793087720870972,0.6907975673675537,0.5864604711532593
25,0.69886756,1.4525752235070535,0.78459543,0.6045168,0.6368663311004639,1.1041895151138306,0.6993816494941711,0.579361081123352
26,0.7053386,1.4478138604504642,0.7804513,0.6131171,0.644239604473114,0.9502888321876526,0.6943124532699585,0.5843369364738464
27,0.6990987,1.484327265123641,0.7765947,0.5996586,0.652534544467926,0.7837139368057251,0.7364296913146973,0.5723884105682373
28,0.706263,1.3997267880008875,0.78535765,0.6075696,0.6460829377174377,0.9163078665733337,0.6985161304473877,0.5714693069458008
29,0.7125029,1.3981575504141646,0.78448594,0.6156447,0.6433179974555969,0.7934644222259521,0.6886163949966431,0.5796462893486023
30,0.69424546,1.417552395301684,0.77960074,0.6131171,0.6866359710693359,0.8915899991989136,0.7347506284713745,0.6092482209205627
31,0.7021031,1.4162880347291344,0.7762926,0.6112789,0.6248847842216492,1.2554821968078613,0.6737251281738281,0.5721032023429871
