epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.2596154,2.4425529018863217,0.38157895,0.004979396,0.37083334,2.260658023092482,0.6666667,0.020833334
1,0.3671431,2.2562613789013337,0.748,0.032202516,0.43587947,2.1203431526819867,0.7565789,0.080588646
2,0.40106767,2.1673116612110035,0.72727275,0.086791806,0.4590049,2.03566607899136,0.7176871,0.14786264
3,0.4422249,2.109798617877832,0.7145709,0.123299465,0.4807288,2.0383271402782865,0.65763545,0.18710582
4,0.45531255,2.0770073077427003,0.72179157,0.1443086,0.4884373,2.034668548901876,0.6659836,0.22775052
5,0.4678836,2.0273011627225186,0.7234657,0.17255037,0.48423266,2.0434259282218084,0.6087719,0.24316749
6,0.4766661,2.0184765843735804,0.70372635,0.19838126,0.47792572,2.0609035041597155,0.57629627,0.27259985
7,0.49250904,1.984211907937766,0.72705746,0.21146892,0.51016116,2.003813788625929,0.6264881,0.2950245
8,0.49560875,1.9895783205625213,0.74136925,0.21818495,0.529082,2.0165827804141574,0.6388489,0.31114227
9,0.5031858,1.9682097538666736,0.71528906,0.22800069,0.51086193,1.9762427382998997,0.6106557,0.31324458
10,0.5097296,1.9516241544697563,0.71525246,0.236611,0.52768046,2.050608428319295,0.6363636,0.32375613
11,0.50714654,1.9410619893377037,0.72379035,0.24728775,0.49404344,2.0959257390764026,0.563591,0.3167484
12,0.52006197,1.9401558135695973,0.74444443,0.2538316,0.50525576,1.977631812625461,0.6167109,0.32585844
13,0.5147236,1.914748151700181,0.7407588,0.26226968,0.5115627,1.9712058968014188,0.6148825,0.33006307
14,0.5346995,1.8932307046519432,0.7391709,0.27329084,0.51997197,1.960425419277615,0.6107056,0.35178697
15,0.5198898,1.9106513748732248,0.7460019,0.27311864,0.53258586,1.948328325483534,0.63182896,0.3728101
16,0.5300499,1.9144308219293482,0.7317535,0.265886,0.5073581,2.0242622746361625,0.597254,0.36580238
17,0.52729464,1.8954940125312825,0.7272307,0.27087998,0.51786965,2.030248522758484,0.60324824,0.36440083
18,0.5343551,1.8863811800848171,0.7397753,0.28345102,0.5087596,2.018585268656413,0.604119,0.370007
19,0.5350439,1.8706677111697438,0.73336214,0.2922335,0.5220743,1.9685372087690565,0.6232877,0.38262087
20,0.5348717,1.8910643895521866,0.7386112,0.28758395,0.52067274,1.985450545946757,0.6184063,0.38612473
21,0.5346995,1.892231892857881,0.7422957,0.2862063,0.55080587,1.9028283940421211,0.6515513,0.38262087
22,0.5350439,1.8795441997550082,0.74390244,0.28362322,0.5494043,1.9507501681645711,0.6453089,0.39523476
23,0.5489926,1.8551161131555824,0.7498953,0.30824867,0.5339874,1.9923147016101412,0.60195225,0.38892782
24,0.5371104,1.8797574520357427,0.74444443,0.28844497,0.52557814,2.0092725170983208,0.61043286,0.38542396
25,0.5483038,1.864192597156181,0.7547414,0.30153263,0.5620182,1.968581697675917,0.64324915,0.4106517
26,0.5594972,1.840389796454586,0.7484485,0.31152058,0.5346882,1.9988759411705865,0.6148069,0.4015417
27,0.5596694,1.845146767567989,0.73979384,0.3089375,0.5318851,1.9842847479714287,0.63123643,0.40784863
28,0.55829173,1.8414205179088021,0.7517555,0.31341484,0.5311843,1.9925777196884156,0.61904764,0.40084094
29,0.55674183,1.848740576322341,0.7550349,0.31634235,0.529082,1.9815026336246067,0.6146288,0.394534
30,0.559325,1.8302128842555658,0.7439842,0.32478043,0.5501051,1.9692785263061523,0.64341086,0.40714785
31,0.5689685,1.819717600112818,0.75171304,0.3211641,0.55080587,2.0281804296705457,0.63114756,0.43167484
