epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.22160232,5.141922408463406,0.22770047,0.07203014,0.23686553537845612,3.8159399032592773,0.2514811158180237,0.1067708358168602
1,0.28587368,4.601544650051642,0.3936507,0.06006206,0.2724844217300415,2.755580425262451,0.2790980637073517,0.0842013880610466
2,0.31689355,4.397296487526871,0.4310885,0.055629432,0.3374888598918915,3.209801435470581,0.33716484904289246,0.1223958358168602
3,0.34255746,4.267308418943903,0.4911124,0.08444149,0.33481743931770325,3.012718915939331,0.34717294573783875,0.1163194477558136
4,0.35661682,4.116960787821018,0.56073403,0.08466312,0.3642030358314514,1.9053001403808594,0.4283619523048401,0.18952545523643494
5,0.35996428,4.087119202080701,0.52061707,0.109707445,0.3597506582736969,2.7367758750915527,0.40844693779945374,0.1493055522441864
6,0.38585138,3.948694887503905,0.61015457,0.12610815,0.3695458471775055,2.0189995765686035,0.42793893814086914,0.19126157462596893
7,0.3925463,3.9207726363437674,0.6021268,0.1378546,0.3820124566555023,2.4906482696533203,0.43916237354278564,0.2161458283662796
8,0.41687122,3.788207539115945,0.6147375,0.16445035,0.3953695595264435,1.7227411270141602,0.4400644302368164,0.22685186564922333
9,0.41754073,3.7094385599988935,0.62224513,0.1797429,0.35084596276283264,2.711489200592041,0.3795177638530731,0.2256944477558136
10,0.40526667,3.726151495739648,0.61069506,0.1662234,0.44256454706192017,2.6730756759643555,0.5016007423400879,0.2578125
11,0.43985718,3.6441681535614836,0.6295353,0.18794326,0.41228851675987244,2.003371238708496,0.49404531717300415,0.2774884104728699
12,0.4353939,3.5562470710003544,0.62832093,0.20766844,0.4398931562900543,1.5226128101348877,0.5207064151763916,0.32754629850387573
13,0.44833744,3.533140678965495,0.6464084,0.21431738,0.42030274868011475,2.5533957481384277,0.48074743151664734,0.2774884104728699
14,0.43584022,3.511223931366832,0.62107843,0.22251773,0.4514692723751068,2.887845993041992,0.522237241268158,0.3182870149612427
15,0.44610578,3.4575937888473836,0.63839096,0.21852838,0.406055212020874,2.1048502922058105,0.49209627509117126,0.3165509104728699
16,0.4554787,3.409070807731303,0.66576904,0.22850177,0.4674977660179138,1.5285143852233887,0.540856122970581,0.34230324625968933
17,0.4673064,3.338339795121336,0.6465395,0.24179965,0.4532502293586731,2.278982639312744,0.5169923305511475,0.35300925374031067
18,0.47288552,3.3023583654366653,0.66771483,0.26950353,0.4131789803504944,2.11314058303833,0.5144852995872498,0.3252314627170563
19,0.48091945,3.2692073535983037,0.66528976,0.26750886,0.4692787230014801,2.551499128341675,0.523424506187439,0.3585069477558136
20,0.46462843,3.235959413780003,0.64715725,0.2613032,0.5057880878448486,1.6196426153182983,0.5594050288200378,0.38599535822868347
21,0.47980362,3.2128560059412705,0.65274686,0.2635195,0.4630454182624817,1.796661376953125,0.526347815990448,0.37355324625968933
22,0.4849364,3.181624357627455,0.6619175,0.27238476,0.47373107075691223,2.844867706298828,0.5244613289833069,0.3715277910232544
