epoch,acc,loss,val_acc,val_loss
0,0.6646894594629744,1.6915333792619247,0.7387640529804016,1.1054461558213395
1,0.6992323790824422,1.5811478090885214,0.6938202287373918,1.1158329020725208
2,0.7365666451108098,1.4877742998931096,0.7977528163556302,0.9622427734096398
3,0.7533147263094335,1.3471499219775949,0.716292143537757,1.208199770932787
4,0.7644801119034389,1.2991285485482598,0.7640449357836434,0.9748438529753953
5,0.7941381716678297,1.2028201233650202,0.7977528136767699,0.9610108505474048
6,0.8039078862618835,1.1661443909147946,0.7471910078873795,1.1148042471221324
7,0.8196092138153976,1.1157396258961796,0.7865168485748634,0.9242996164921964
8,0.816120026540856,1.1062289667312533,0.7837078772234113,0.8985824102766058
9,0.8384508023042406,1.0138998022881407,0.8146067395638884,0.8994458458396826
10,0.8381018842422954,1.0137556940213168,0.7977528069796187,0.8038967144623231
11,0.8517096997222448,0.9793101057503827,0.7837078591411033,1.0106629180104545
12,0.8555477994019055,0.9569665195221512,0.8061797792991895,0.8652621273244365
13,0.8597348227587431,0.9060239119290141,0.7808988723862037,1.0144476167271645
14,0.8722958801845861,0.8954445155700104,0.8426966298831983,0.7734623283482669
15,0.8775296550652237,0.8575531201851759,0.8202247211102689,0.8318517509471165
16,0.9005582677427906,0.7883819765505554,0.814606743582179,0.8409350059005651
17,0.8883461212246716,0.7784039069120483,0.839887633082572,0.8138120462385456
18,0.8893928771158739,0.784148598332881,0.7724719161397955,1.018296632873878
19,0.8824145103033323,0.8080431258270812,0.8314606815241696,0.8271243458383539
20,0.9019539368709982,0.7428646194543859,0.8202247197708387,0.8294307060456008
21,0.9117236510075145,0.7472841780416963,0.8511235948359028,0.7569713525557786
22,0.9166085074518581,0.7093763824783665,0.8258426926109228,0.84077394209551
23,0.9099790617376462,0.6969363022665834,0.8202247177616934,0.9203675292181165
24,0.9214933630643154,0.6693804966596483,0.8567415643274114,0.7774953654642855
25,0.9221912003528464,0.6561495682116746,0.8539325775725118,0.7542998656797945
26,0.929169567830897,0.6492936589754468,0.8483146047324277,0.7869581010904205
27,0.9256803838839002,0.6697340818110331,0.8483146094204335,0.822349080208982
28,0.928471730958309,0.6272474669195602,0.814606749609615,0.8576125087362997
29,0.9375436061425219,0.6067168172305893,0.8792134818066372,0.7431292935703577
30,0.9361479353089476,0.617697188426628,0.8398876444677289,0.8275453555450011
31,0.9333565874442469,0.6103198362744445,0.8370786550339688,0.8878539797295345
32,0.9392881975337,0.5880896405415026,0.8820224678918217,0.7402928089827634
33,0.9330076685504155,0.5848634123219865,0.8202247217799841,0.8538931902874721
34,0.9476622391312753,0.5368983738087976,0.8539325909668141,0.7799687599867917
35,0.9487089940242142,0.5359073260906936,0.8398876364311475,0.7280490719870235
36,0.9452198079975019,0.5470853855538351,0.8314606681298674,0.9357985124159395
37,0.9570830356633838,0.5198631757468671,0.8258426972989286,0.8993372455071867
38,0.9417306290834164,0.586510960987541,0.8174157390433751,0.8952761814835366
39,0.9438241392436431,0.555726169188041,0.8286516853932584,0.8641015405065557
40,0.9598743835696788,0.49589979124501793,0.8146067409033186,0.8855026183503397
41,0.9504535858313353,0.519000732308073,0.8764044950517376,0.6911704071452108
42,0.9588276274289107,0.5026349203410219,0.8511235961753331,0.8090911035457354
43,0.9588276282607968,0.4935265611038288,0.8623595458737919,0.7477236122227786
44,0.9574319540996777,0.4815467447146451,0.8230337145623197,0.9072642312960678
45,0.9609211384626177,0.4772603554652441,0.8511235921570425,0.8413598215981816
46,0.9598743819059065,0.4953953095108,0.8398876404494382,0.8665242446272561
47,0.9665038330689728,0.4601548427647007,0.8342696615819181,0.8289505102661219
48,0.9609211389201551,0.4895506932114856,0.8679775307687481,0.6872225557820181
49,0.9605722200263237,0.4628060533712564,0.8511235941661878,0.7965700405367305
50,0.9546406061933828,0.48334746396549916,0.8651685420047032,0.7906696856691596
51,0.9672016690680802,0.44582412844759056,0.8117977501301283,0.9678997765766101
52,0.9682484240026135,0.43529127185692423,0.8820224725798275,0.6577061585495981
53,0.969644096874309,0.44499603664633786,0.839887645137444,0.8350066589505485
54,0.9678995063566114,0.42471567565797513,0.823033710544029,0.8996171094058605
55,0.969644097290252,0.4345113614473988,0.8398876471465893,0.8011041799288118
56,0.9626657293962584,0.44726419644345794,0.8455056219958188,0.7200584605838476
57,0.97034193416284,0.43307888586872206,0.825842699977789,0.8837792344307631
58,0.9678995042768959,0.4245985244548329,0.8230337065257384,1.001475542114022
59,0.97034193416284,0.4173219541070849,0.8342696642607785,0.8404941083340163
60,0.9731332816531919,0.40347592606464633,0.859550563137183,0.8535205862495336
61,0.967201667820251,0.4211212700676103,0.8876404480987721,0.6703570665938131
62,0.9748778746665481,0.39462359140406766,0.8398876371008627,0.7671580512202187
